"NAME","Edad","total","hombres","mujeres","porc_hombres","porc_mujeres"
"Burgos","De 35 a 39 años",21395,11023,10372,3.09587002008117,2.913033098819
"Burgos","De 40 a 44 años",26970,13895,13075,3.90248697532685,3.67218547696283
"Burgos","De 45 a 49 años",28218,14492,13726,4.07015770035528,3.85502239822499
"Burgos","De 5 a 9 años",15539,7980,7559,2.24122677676202,2.1229866172361
"Burgos","De 50 a 54 años",28036,14342,13694,4.02802937748381,3.84603502267908
"Burgos","De 55 a 59 años",28032,14144,13888,3.97241999129348,3.90052098692618
"Burgos","De 60 a 64 años",26328,13570,12758,3.81120894243867,3.58315428796113
"Burgos","De 65 a 69 años",21741,11195,10546,3.14417716364045,2.9619019533499
"Burgos","De 70 a 74 años  ",19084,9525,9559,2.67514850233812,2.68469758885565
"Burgos","De 75 a 79 años  ",15739,7434,8305,2.08787968150988,2.33250480965019
"Burgos","De 80 a 84 años  ",11765,4979,6786,1.39837946384688,1.90588532670514
"Burgos","De 85 a 89 años  ",10248,3784,6464,1.06275715830419,1.8154498602744
"Burgos","De 90 a 94 años  ",5659,1761,3898,0.494586510511017,1.09477468368651
"Burgos","De 95 a 99 años  ",1621,385,1236,0.108129362036764,0.347137380460884
"Cáceres","100 y más años",248,71,177,0.0182257840937678,0.0454361096422099
"Cáceres","De 0 a 4 años",12832,6534,6298,1.67728553899548,1.61670405947253
"Cáceres","De 10 a 14 años  ",17851,9184,8667,2.35754367770653,2.22482916536177
"Cáceres","De 15 a 19 años  ",18318,9397,8921,2.41222102998783,2.29003126620426
"Cáceres","De 20 a 24 años",18709,9677,9032,2.48409736162523,2.3185250976748
"Cáceres","De 25 a 29 años",19555,10097,9458,2.59191185908132,2.42787980223741
"Cáceres","De 30 a 34 años",21494,11053,10441,2.83731819138614,2.68021706652155
"Cáceres","De 35 a 39 años",24108,12433,11675,3.19156582588472,2.99698632809492
"Cáceres","De 40 a 44 años",27627,14090,13537,3.61691968846744,3.47496393348359
"Cáceres","De 45 a 49 años",28838,14586,14252,3.7442434759394,3.65850528034336
"Cáceres","De 5 a 9 años",15620,8048,7572,2.06593113220624,1.94374136842267
"Cáceres","De 50 a 54 años",31170,15722,15448,4.03585602143968,3.9655198969088
"Cáceres","De 55 a 59 años",32743,16530,16213,4.24327057845045,4.16189630298954
"Cáceres","De 60 a 64 años",29329,15128,14201,3.88337551789464,3.64541351993798
"Cáceres","De 65 a 69 años",22791,11651,11140,2.99082549966886,2.85965119443061
"Cáceres","De 70 a 74 años  ",18933,9030,9903,2.31801169530596,2.54211182930398
"Cáceres","De 75 a 79 años  ",16601,7374,9227,1.89291453390766,2.36858182863656
"Cáceres","De 80 a 84 años  ",13938,5748,8190,1.47551840804193,2.10238270039378
"Cáceres","De 85 a 89 años  ",12154,4528,7626,1.16234296305043,1.95760323238131
"Cáceres","De 90 a 94 años  ",5315,1674,3641,0.429717782717849,0.934649012470544
"Cáceres","De 95 a 99 años  ",1384,396,988,0.101653669030029,0.253620770206234
"Cádiz","100 y más años",263,53,210,0.00425374811390414,0.0168544736588655
"Cádiz","De 0 a 4 años",51330,26372,24958,2.11660085396,2.00311406465697
"Cádiz","De 10 a 14 años  ",74280,38099,36181,3.05780281871007,2.90386529262577
"Cádiz","De 15 a 19 años  ",71113,36828,34285,2.95579312337475,2.75169347330572
"Cádiz","De 20 a 24 años",64563,33507,31056,2.68925166136955,2.49253587595107
"Cádiz","De 25 a 29 años",66683,34079,32604,2.73516003724036,2.61677742463643
"Cádiz","De 30 a 34 años",74468,37260,37208,2.99046518347298,2.98629169475746
"Cádiz","De 35 a 39 años",87048,43249,43799,3.47113872034415,3.5152813894507
"Cádiz","De 40 a 44 años",103157,51539,51618,4.13648913287746,4.14282962534913
"Cádiz","De 45 a 49 años",103181,51949,51232,4.16939548621144,4.11184949757617
"Cádiz","De 5 a 9 años",63056,32391,30665,2.59968217278243,2.46115445118623
"Cádiz","De 50 a 54 años",100591,49925,50666,4.00695046389932,4.0664226780956
"Cádiz","De 55 a 59 años",91680,45106,46574,3.62018042312755,3.73800121994286
"Cádiz","De 60 a 64 años",80320,39269,41051,3.15170631480946,3.29472856271469
"Cádiz","De 65 a 69 años",64276,30907,33369,2.48057722559312,2.67817586439372
"Cádiz","De 70 a 74 años  ",53047,24792,28255,1.98979100452663,2.26772930110116
"Cádiz","De 75 a 79 años  ",41630,18492,23138,1.48415679476067,1.85704195961347
"Cádiz","De 80 a 84 años  ",28490,11307,17183,0.907493017432341,1.37909724228707
"Cádiz","De 85 a 89 años  ",18542,6601,11941,0.529792288677004,0.95837747600244
"Cádiz","De 90 a 94 años  ",6764,1994,4770,0.160037240360846,0.382837330251372
"Cádiz","De 95 a 99 años  ",1478,365,1113,0.0292946804070757,0.0893287103919869
"Castellón/Castelló","100 y más años",178,46,132,0.00783560225120259,0.022484771677364
"Castellón/Castelló","De 0 a 4 años",23668,12183,11485,2.07524222231307,1.95634547511004
"Castellón/Castelló","De 10 a 14 años  ",32476,16832,15644,2.86714906722265,2.66478612212638
"Castellón/Castelló","De 15 a 19 años  ",30266,15543,14723,2.64758186500961,2.50790373792295
"Castellón/Castelló","De 20 a 24 años",29003,14862,14141,2.53158088385593,2.4087663355273
"Castellón/Castelló","De 25 a 29 años",29532,15133,14399,2.57774280146628,2.45271384380579
"Castellón/Castelló","De 30 a 34 años",32566,16310,16256,2.77823201558944,2.76903369990325
"Castellón/Castelló","De 35 a 39 años",39231,19701,19530,3.35585217284657,3.32672417317362
"Castellón/Castelló","De 40 a 44 años",50448,25750,24698,4.38623386887971,4.2070370521783
"Castellón/Castelló","De 45 a 49 años",49563,25480,24083,4.34024229044874,4.10227845686331
"Castellón/Castelló","De 5 a 9 años",28776,14898,13878,2.5377130943134,2.36396713135195
"Castellón/Castelló","De 50 a 54 años",47186,23911,23275,4.07298011801098,3.96464439992914
"Castellón/Castelló","De 55 a 59 años",41923,21087,20836,3.59194227545889,3.54918714143603
"Castellón/Castelló","De 60 a 64 años",37170,18414,18756,3.13662564899227,3.19488164833817
"Castellón/Castelló","De 65 a 69 años",30972,14847,16125,2.52902579616532,2.74671926740526
"Castellón/Castelló","De 70 a 74 años  ",27597,13127,14470,2.2360424076421,2.46480792554134
"Castellón/Castelló","De 75 a 79 años  ",21988,9925,12063,1.69061635528665,2.05480152078819
"Castellón/Castelló","De 80 a 84 años  ",15990,6718,9272,1.14433860703433,1.57938487115544
"Castellón/Castelló","De 85 a 89 años  ",11956,4619,7337,0.786796669528365,1.24977855906681
"Castellón/Castelló","De 90 a 94 años  ",5308,1683,3625,0.286680838886391,0.617479525230639
"Castellón/Castelló","De 95 a 99 años  ",1267,346,921,0.0589373560633934,0.156882384203426
"Ceuta","100 y más años",21,6,15,0.00718416609792018,0.0179604152448005
"Ceuta","De 0 a 4 años",4343,2223,2120,2.66173353927943,2.53840535459846
"Ceuta","De 10 a 14 años  ",6144,3075,3069,3.68188512518409,3.67470095908617
"Ceuta","De 15 a 19 años  ",5644,2874,2770,3.44121556090377,3.31669001520648
"Ceuta","De 20 a 24 años",5438,2671,2767,3.1981512745908,3.31309793215752
"Ceuta","De 25 a 29 años",5466,2788,2678,3.33824251350025,3.20653280170504
"Ceuta","De 30 a 34 años",5577,2847,2730,3.40888681346313,3.26879557455368
"Ceuta","De 35 a 39 años",5980,3064,2916,3.66871415400457,3.49150472358921
"Ceuta","De 40 a 44 años",6363,3346,3017,4.00636996060682,3.61243818623753
"Ceuta","De 45 a 49 años",6220,3314,2906,3.96805440808458,3.47953111342601
"Ceuta","De 5 a 9 años",5635,2900,2735,3.47234694732809,3.27478237963528
"Ceuta","De 50 a 54 años",5830,3035,2795,3.63399068453129,3.34662404061449
"Ceuta","De 55 a 59 años",5701,2944,2757,3.52503083204617,3.30112432199432
"Ceuta","De 60 a 64 años",4864,2481,2383,2.97065268149,2.85331130189063
"Ceuta","De 65 a 69 años",3367,1706,1661,2.04269789384197,1.98881664810757
"Ceuta","De 70 a 74 años  ",2411,1166,1245,1.39612294502916,1.49071446531844
"Ceuta","De 75 a 79 años  ",1896,833,1063,0.997401726594586,1.27279476034819
"Ceuta","De 80 a 84 años  ",1376,541,835,0.647772309829137,0.999796448627226
"Ceuta","De 85 a 89 años  ",826,283,543,0.338853167618569,0.650167031861777
"Ceuta","De 90 a 94 años  ",342,96,246,0.114946657566723,0.294550810014728
"Ceuta","De 95 a 99 años  ",73,15,58,0.0179604152448005,0.0694469389465618
"Ciudad Real","100 y más años",179,35,144,0.00710528612987245,0.0292331772200467
